what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1270810928591
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1270810928591
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1270810928592
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1270810928592
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1270810928593
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1270810928594
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1270810928594
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1270810928594
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1270810928595
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1270810928595
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1270810928596
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1270810928596
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1270810928597
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1270810928598
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1270810928598
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1270810928599
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1270810928600
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1270810928601
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1270810928602
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1270810928603
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1270810928604
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1270810928605
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1270810928606
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1270810928606
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1270810928607
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1270810928608
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1270810928608
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1270810928609
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1270810928610
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270810928611
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270810928612
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270810928612
os,sysinfo,,,"win32",1270810928615
arch,sysinfo,,,"x86",1270810928615
ws,sysinfo,,,"win32",1270810928615
locale,sysinfo,,,"de_DE",1270810928615
processors,sysinfo,,,"2",1270810928615
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270810928615
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1270810928615
java.specification.name,sysinfo,,,"Java Platform API Specification",1270810928615
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270810928615
java.specification.version,sysinfo,,,"1.6",1270810928615
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270810928615
java.version,sysinfo,,,"1.6.0_19",1270810928615
java.vm.info,sysinfo,,,"mixed mode, sharing",1270810928615
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270810928615
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270810928615
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270810928615
java.vm.specification.version,sysinfo,,,"1.0",1270810928615
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270810928615
java.vm.version,sysinfo,,,"16.2-b04",1270810928615
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1270810929677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270810930070
